,Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,COVID beta,SPY_beta,S&P500
430,TPR,"Tapestry, Inc.",Consumer Discretionary,48.85,,0.0,2.09,50.71,36.69,14247199374,0.0,4.0785494,4.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TPR,-0.04828940525007715,1.5838491133138723,S&P500
229,HES,Hess Corporation,Energy,43.0,-9.33,2.2670596,-19.94,55.48,37.25,14016129999,-819000000.0,3.780475,1.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HES,-0.04816605870806598,1.3618023669180688,S&P500
272,KSS,Kohl's Corp.,Consumer Discretionary,60.34,16.01,3.4965036,3.12,69.14,35.16,10570861198,2286000000.0,0.8557756999999999,2.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KSS,-0.047110865183773075,1.4000598467350567,S&P500
219,HAL,Halliburton Co.,Energy,47.41,38.86,1.4489836999999999,-0.53,57.86,38.181,43356557470,2910000000.0,2.1424223999999996,4.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAL,-0.04706940729863944,1.7625424124656535,S&P500
406,SLB,Schlumberger Ltd.,Energy,67.4,44.93,2.8673835,-1.08,82.71,61.02,96529311126,3222000000.0,3.2297827999999997,2.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLB,-0.04394682402970106,1.383477800625179,S&P500
366,PXD,Pioneer Natural Resources,Energy,169.16,118.29,0.1816118,-3.39,199.83,125.46,29983119693,1717000000.0,6.7890477,2.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PXD,-0.043827293506679695,1.4190786965072097,S&P500
144,DVN,Devon Energy Corp.,Energy,34.94,23.93,0.6528835999999999,-6.89,47.25,28.7947,19317380000,3723000000.0,2.0660408,2.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVN,-0.04047937246501265,1.564720553261438,S&P500
171,EOG,EOG Resources,Energy,101.04,246.44,0.63339007,-1.98,119.0,81.99,61164030149,3692749000.0,8.023019999999999,4.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG,-0.04040250856652219,1.1940424824836193,S&P500
123,CMA,Comerica Inc.,Financials,89.18,18.89,1.2823253000000001,4.13,98.18,64.04,16274969256,0.0,4.9054720000000005,1.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMA,-0.03839986235413864,1.377417165053888,S&P500
126,COP,ConocoPhillips,Energy,53.24,72.93,2.049254,-0.65,61.315,42.265,65482462410,5328000000.0,2.0764177,2.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP,-0.038357302497295756,1.389595755855909,S&P500
